id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:떠난다,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",자동 경고 비콘은 공식 채널 간에 왜곡된 통곡을 내보내는 상태로 남아 있습니다. 전달하려는 메시지가 무엇이든 손상되었습니다.,beaconLeave:떠난다,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","이 자율 경고 비컨은 반복되는 메시지를 내보냅니다.
 
""위험: 이 항성계에는 잠재적으로 활성화된 자율 무기 시스템이 포함되어 있는 것으로 알려져 있습니다. 승인되지 않은 당사자가 이 시스템에 접근하는 것은 헤게모니 해군 규정 224.34에 의해 금지되어 있습니다.""",beaconLeave:떠난다,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","이 자율 경고 비컨은 반복되는 메시지를 내보냅니다.
 
""위험: 이 항성계에는 잠재적으로 활성화된 자율 무기 시스템이 포함되어 있는 것으로 알려져 있습니다. 승인되지 않은 당사자가 이 시스템에 접근하는 것은 헤게모니 해군 규정 224.34에 의해 금지되어 있습니다.""",beaconLeave:떠난다,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","이 자율 경고 비컨은 반복되는 메시지를 내보냅니다.
 
""위험: 이 항성계에는 잠재적으로 활성화된 자율 무기 시스템이 포함되어 있는 것으로 알려져 있습니다. 승인되지 않은 당사자가 이 시스템에 접근하는 것은 헤게모니 해군 규정 224.34에 의해 금지되어 있습니다.""",beaconLeave:떠난다,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","이 자동 경고 신호는 반복되는 메시지를 발산합니다.
 
 ""이 세상은 기술적 죄로 인해 타락했으며 그 혐오스러운 행위는 미덕의 길에서 벗어난 결과를 입증합니다. 무단 침입은 금지되어 있습니다. 이 경고를 무시하는 사람은 누구나 신체가 부패하게 됩니다. 그리고 이 러드 기사단이 집행하는 신성한 정의에 의해 무법자가 되었습니다.""",beaconLeave:떠난다,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","아다만틴 재질의 조용한 고리, 버려진 옛 시대의 것입니다.
 
문은 비활성입니다.",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","당신 앞에는 광활하고 강력한 금강석 고리가 걸려 있습니다. 이 고리는 버려진 시대의 것입니다.
 
당신은 이 관문을 스캔하여 공간의 틈새에 숨겨진 사물의 비밀 심장의 리듬을 발견했습니다. 야누스 장치를 사용하여 다른 게이트로 연결되는 다리를 만들려면 엄청난 양의 연료가 필요합니다. 목표물이 멀수록 더 많은 연료가 필요합니다.
 
Janus 장치는 직접 게이트 간 연결을 안정화하기 위해 선도선의 하이퍼드라이브 필드를 통해 엄청난 양의 고유한 위상 에너지를 전달하여 작동합니다.",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","당신 앞에는 광활하고 강력한 금강석 고리가 걸려 있습니다. 이 고리는 버려진 시대의 것입니다.
 
당신은 이 관문을 스캔하여 공간의 틈새에 숨겨진 사물의 비밀 심장의 리듬을 발견했습니다. 야누스 장치를 사용하여 다른 게이트로 연결되는 다리를 만들려면 엄청난 양의 연료가 필요합니다. 목표물이 멀수록 더 많은 연료가 필요합니다.
 
게이트를 사용하려면 함대에 Janus 장치를 통합해야 합니다.",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","금강 재질의 조용한 고리, 버려진 옛 시대의 것입니다.
 
센서 담당자가 신호에 고개를 끄덕입니다. 명령 인터페이스가 켜집니다. 'EXECUTE SCAN'이 예상대로 깜박입니다. 무덤처럼 차가운 문이 기다리고 있습니다.",,
